well_id,n_rows,rare_frac,rmse_overall,rmse_rare,rmse_common
1b1eba53,4655,0.0,63.73803372497016,,63.73803372497016
a959858c,4404,0.0,55.8975262489584,,55.8975262489584
2fd68f7b,4730,0.00021141649048625792,50.03910152944023,54.23064372749286,50.0381780497472
389ae58f,6463,0.0004641807210273867,50.02936624175156,63.95833718787385,50.02199666130422
c8d9680c,6281,0.0001592103168285305,49.38695920219362,16.6152493579375,49.39044610876901
ba48188d,4166,0.0,48.66737019496732,,48.66737019496732
86454a6f,7964,0.0,46.10529456843223,,46.10529456843223
896d15b9,4279,0.0,44.82093313144098,,44.82093313144098
5f4d2a52,5225,0.0005741626794258373,43.48107272869992,53.01384029876267,43.47499546731525
f88ddb26,4990,0.0,43.46518899732564,,43.46518899732564
03a935ae,2786,0.0,42.78063377474726,,42.78063377474726
94d813a4,4847,0.00020631318341242006,42.583761201666476,34.81538337946222,42.58521800742249
91db7070,4073,0.00024551927326295114,42.3295415791792,4.9684980041129165,42.33466729488911
f6d009f4,6715,0.0004467609828741623,38.96562427042121,34.28304502956199,38.96759139373381
4f3eb9e9,4697,0.0,37.13260099615964,,37.13260099615964
81bf5923,4543,0.0,36.81491171474505,,36.81491171474505
91b301ce,6570,0.00015220700152207003,36.4042521328062,0.5558534364663501,36.4070222941815
fef8af96,3826,0.0,35.86380526492653,,35.86380526492653
a8ed028a,5538,0.0,33.78797450412572,,33.78797450412572
6d6d93af,3595,0.0,33.50375496838486,,33.50375496838486
8382f4b6,4967,0.0004026575397624321,32.14186877816367,33.57896545648827,32.1412769403972
42c538a1,3279,0.0,31.987734711601227,,31.987734711601227
206b6193,6535,0.0,31.281495260272692,,31.281495260272692
9d5e14d4,5400,0.0,31.226272891469044,,31.226272891469044
57f05c51,4771,0.0,30.86092678247014,,30.86092678247014
c03fba65,3699,0.0,30.361078788160352,,30.361078788160352
2bff06cf,7624,0.00013116474291710389,29.44686781839368,39.28103846018166,29.44536229699226
c593337f,5208,0.0,29.39899001716316,,29.39899001716316
56b00794,6065,0.0,29.220337281259482,,29.220337281259482
ff0aea78,3261,0.00030665440049064706,28.506699229152275,19.845528738522262,28.50895233391709
25050f63,6124,0.0,28.17292792350775,,28.17292792350775
99529c45,5840,0.0,27.526238025871123,,27.526238025871123
c59b6c4a,5499,0.0,27.400434162867647,,27.400434162867647
ab112491,5185,0.0,27.18625362004322,,27.18625362004322
445af6c2,6041,0.0,26.99289286997308,,26.99289286997308
ad2133a8,5729,0.00017455053237912376,26.935045002185877,14.350534506167605,26.936728724346896
ee288beb,4638,0.0,26.728734683664136,,26.728734683664136
d924e971,3184,0.0,26.52150671686254,,26.52150671686254
75d20a82,5067,0.0,26.5137485966811,,26.5137485966811
43e16325,3720,0.0,26.398486066629015,,26.398486066629015
70925e23,5947,0.00033630401883302503,26.223103598804787,2.989723310452399,26.227456852628084
84c3b497,5312,0.00018825301204819278,26.161603372006294,1.0218406139538274,26.164062462940244
